logFC AveExpr t P.Value adj.P.Val B
BNIPL -2.04218948950743 2.80182601452687 -6.61522326248288 2.0988264582504e-08 1.67081005495147e-06 9.13274235064907
BOLA3-DT -1.6473031575971 1.77160693628626 -7.049431672209 4.28707858494034e-09 4.8508974409016e-07 10.6733731404068
BPHL 1.01466697834764 6.76490097451568 6.05670683734765 1.60687508529374e-07 8.59348555230037e-06 7.16058230250859
BST2 -1.00495778643873 6.06347423752419 -4.56343013466441 3.14154534163296e-05 0.000553405499919245 2.07895647916125
BTBD2 1.11225664582211 3.39749350205872 4.2309869427317 9.55143649754449e-05 0.00131842694261605 1.01853911654426
BUB1B 1.80896955958665 4.38623892312833 6.10943633949919 1.3268946302567e-07 7.43952723206019e-06 7.34592025734011
C11orf96 -1.35665186400464 7.2793855271824 -4.13670216338894 0.000130146313979724 0.00166772620748921 0.724573224254017
C19orf33 -1.42123184768459 3.75226017340981 -3.18247182219409 0.00247377542956651 0.0157641610426992 -2.03875901517962
C19orf48 1.27631646305903 6.56031866526671 6.18930657333604 9.92521300681353e-08 5.81489235064915e-06 7.62707049175121
C1orf127 1.84201065209731 3.14716511760426 6.82450812707301 9.76253362354752e-09 9.04965172383691e-07 9.87503629007537
C2orf72 1.57981800152672 4.83878057153694 7.22962878271403 2.21794156807769e-09 2.83801271689548e-07 11.312801976196
C3orf14 -1.13961363910762 4.00176845622409 -2.98796267162598 0.00429140688021142 0.0237416109550582 -2.54556739675904
C3orf80 1.80453657024479 4.032340426 4.88769672153446 1.03299716164925e-05 0.000228233281785152 3.14456526287007
C4orf19 -1.4217323385658 3.99918077981729 -3.63735720207944 0.000636342069077876 0.00565736851438929 -0.773923218818845
C4orf36 -1.10822821156626 3.54960177629517 -3.42627532269129 0.0012086378287087 0.00922714465350559 -1.3739476637405
C5orf49 1.08751874683985 3.688980186 4.33089147726076 6.86107393204083e-05 0.00101851543772652 1.33343035106148
C8orf88 -1.38332400037313 4.6289024217027 -7.40070190350971 1.18711649278607e-09 1.74364004859429e-07 11.9193063918924
C9orf152 1.11211811551049 7.04034794 5.82912343046096 3.66225514897343e-07 1.63913424124761e-05 6.36357814715305
CACHD1 -1.17457220622629 4.22804714669472 -5.44653418790177 1.44545308115793e-06 4.80826394158068e-05 5.03745454836763
CACNA1D 1.62329308667012 7.24847045514147 5.15441570353025 4.06841940605244e-06 0.000106870306740599 4.04024476753182
CACNA2D1 -1.13654760709848 6.29423264331222 -4.31408718101435 7.25521183660211e-05 0.00106865786211872 1.28022698254652
CACNB4 -1.11971275988224 4.26724152088468 -4.23787030034965 9.33709526667694e-05 0.00129311949519974 1.04012453552144
CACNG4 -1.47913798280297 3.2974380164597 -4.60847542245241 2.69586969953542e-05 0.00049135638883638 2.22527130027786
CADPS 1.06386435190218 3.05792947946182 2.83596088634491 0.00651117753513633 0.0323804553768094 -2.92598046866654
CALM1 -1.19487282684972 7.46838385501256 -6.99419970331353 5.24710736406607e-09 5.67041027421379e-07 10.4773268574188
CAMKK2 1.31664306380567 7.21386725684332 6.79015278704715 1.10700019822188e-08 9.91284595192845e-07 9.75312764568249
CAPG -1.84375513882367 4.97865196907633 -6.80018490923979 1.06710883785782e-08 9.71907817956358e-07 9.78872458696948
CAPNS2 -1.91252438835655 3.00170607873831 -5.10768492671914 4.79458362678758e-06 0.000121507449214956 3.88220935775242
CARD6 -1.39713574728046 3.71723021770928 -3.84201928597688 0.000335750156125132 0.00348119422215169 -0.172369952559315
CARTPT -1.6270333961975 4.44181264913269 -3.05492193247864 0.00355775231547232 0.0206108192209129 -2.37357149683627
CATIP-AS1 1.18125005254597 2.91418808753417 3.0320887044259 0.00379361637386428 0.0215966164488048 -2.43251919004952
CAV2 -1.08232398327931 5.24508105929634 -6.7532755336036 1.26687611896407e-08 1.10557469511438e-06 9.62228977469697
CCDC110 2.26226193546801 4.5048884 7.75503640389344 3.26300267450184e-10 6.02269440549423e-08 13.172389209915
CCDC138 1.00536283722955 3.576018349 3.85860392969119 0.000318573165196976 0.00333982582682775 -0.122822802505318
