"down_names" "Freq"
"249" "LINC01503" 2
"250" "LINC02562" 2
"251" "LIX1" 2
"252" "LMAN1L" 2
"253" "LMCD1" 2
"254" "LMO3" 2
"255" "LMOD1" 3
"256" "LOC100130357" 2
"257" "LOC100505851" 2
"258" "LOC105371267" 2
"259" "LOC105371472" 2
"260" "LOC158434" 2
"261" "LPAR1" 2
"262" "LRP1B" 2
"263" "LRP4" 2
"264" "LRRC34" 2
"265" "LSAMP-AS1" 2
"266" "LY6G6D" 2
"267" "MAGI2-AS3" 2
"268" "MAL" 3
"269" "MAMLD1" 2
"270" "MAP1B" 2
"271" "MCC" 2
"272" "MCF2" 2
"273" "MEIS1" 2
"274" "MEIS2" 3
"275" "MET" 2
"276" "MFAP4" 2
"277" "MIR100HG" 2
"278" "MIR181A2HG" 2
"279" "MIR205HG" 3
"280" "MSMB" 2
"281" "MSMO1" 2
"282" "MSRB3" 2
"283" "MT1M" 2
"284" "MUC4" 3
"285" "MYH11" 2
"286" "MYOCD" 2
"287" "MYOF" 3
"288" "NACAD" 2
"289" "NBL1" 3
"290" "NDNF" 3
"291" "NDP" 2
"292" "NDRG2" 2
"293" "NEFH" 3
"294" "NELL2" 3
"295" "NES" 2
"296" "NEXN" 2
"297" "NHS" 2
"298" "NID2" 2
"299" "NOL3" 2
"300" "NRG2" 4
"301" "NRK" 2
"302" "NRXN3" 2
"303" "NTF4" 3
"304" "NTN4" 2
"305" "NTNG2" 2
"306" "OAT" 3
"307" "OLFM4" 2
"308" "PAGE4" 2
"309" "PAK5" 2
"310" "PALLD" 3
"311" "PARM1" 2
"312" "PCDH18" 2
"313" "PCOLCE2" 2
"314" "PCP4" 2
"315" "PDE8B" 3
"316" "PDGFC" 2
"317" "PDK4" 2
"318" "PDPN" 2
"319" "PENK" 3
"320" "PGAP4" 2
"321" "PGM5" 3
"322" "PGR" 2
"323" "PHYHIP" 2
"324" "PHYHIPL" 3
"325" "PITX2" 2
"326" "PLAC9" 2
"327" "PLCL1" 2
"328" "PLN" 2
"329" "PLP2" 2
"330" "PNCK" 2
"331" "PON3" 2
"332" "PPARGC1A" 2
"333" "PPP1R14A" 2
"334" "PPP1R14C" 2
"335" "PPP1R1A" 2
"336" "PPP1R3C" 2
"337" "PRDM5" 2
"338" "PRDM8" 3
"339" "PRELP" 2
"340" "PRICKLE2" 2
"341" "PRIMA1" 2
"342" "PRKCB" 2
"343" "PROK1" 2
"344" "PROM1" 2
"345" "PRRT2" 2
"346" "PRSS16" 2
"347" "PRTFDC1" 2
"348" "PTGDS" 4
"349" "PTGER2" 2
"350" "PTGIS" 2
"351" "PYGL" 2
"352" "RAB37" 2
"353" "RARRES2" 3
"354" "RASL12" 3
"355" "RBP1" 2
"356" "RBPMS2" 3
"357" "RCAN2" 2
"358" "RFPL1" 2
"359" "RGN" 2
"360" "RGS22" 2
"361" "RGS9" 2
"362" "RMST" 2
"363" "RNASE4" 2
"364" "RND3" 3
"365" "RNF112" 3
"366" "RNF128" 3
"367" "RNF39" 2
"368" "ROR2" 3
"369" "RUNDC3B" 2
"370" "S100A14" 2
"371" "S100A16" 3
"372" "S100A4" 2
"373" "S100A6" 4
"374" "SBSPON" 2
"375" "SCARA3" 2
"376" "SCGB1A1" 4
"377" "SCGB2A1" 2
"378" "SCGB3A1" 5
"379" "SCN4B" 2
"380" "SCN7A" 2
"381" "SCPEP1" 2
"382" "SEMA3E" 2
"383" "SEMA6D" 2
"384" "SERP2" 2
"385" "SERPINA5" 2
"386" "SERPINB1" 2
"387" "SERPINB5" 3
"388" "SERPINF1" 3
"389" "SFMBT2" 2
"390" "SGCA" 2
"391" "SGCG" 3
"392" "SH3BGRL2" 2
"393" "SLC14A1" 4
"394" "SLC16A5" 3
"395" "SLC2A5" 3
"396" "SLC35F1" 2
"397" "SLC38A4" 2
"398" "SLC47A1" 2
"399" "SLITRK6" 2
"400" "SMARCD3" 2
"401" "SMOC1" 3
"402" "SNAI2" 3
"403" "SNX7" 2
"404" "SOD3" 2
"405" "SORCS2" 2
"406" "SOSTDC1" 3
"407" "SOWAHA" 2
"408" "SP8" 2
"409" "SPOCK3" 3
"410" "SPON1" 3
"411" "SPRY2" 2
"412" "SRD5A2" 4
"413" "SRPX" 5
"414" "ST6GALNAC2" 2
"415" "STAC" 2
"416" "STK33" 2
"417" "STOX2" 2
"418" "SVOPL" 3
"419" "TCEAL2" 6
"420" "TCF21" 2
"421" "TCF7L1" 3
"422" "TEX26" 2
"423" "TFCP2L1" 2
"424" "TGFB1I1" 2
"425" "TGFB3" 3
"426" "TGFBR3" 4
"427" "TGM4" 2
"428" "THSD4" 2
"429" "TIMP3" 2
"430" "TMEM100" 2
"431" "TMEM132C" 2
"432" "TMEM139" 2
"433" "TMEM158" 2
"434" "TMEM200B" 3
"435" "TMEM79" 2
"436" "TMSB15B" 2
"437" "TNC" 2
"438" "TNIK" 2
"439" "TNS4" 2
"440" "TPM2" 2
"441" "TPRG1" 2
"442" "TPRXL" 2
"443" "TRIM29" 3
"444" "TRIP6" 2
"445" "TRPC1" 3
"446" "TSHZ3" 2
"447" "TSLP" 2
"448" "TSPAN18" 3
"449" "UBE2Q2P13" 2
"450" "UBXN10" 2
"451" "UNC5D" 2
"452" "UPK1A" 4
"453" "VCL" 2
"454" "VGLL3" 2
"455" "VILL" 2
"456" "VSIG2" 2
"457" "VSNL1" 4
"458" "VTCN1" 2
"459" "VWA5A" 2
"460" "WFDC1" 2
"461" "WFDC2" 2
"462" "WIF1" 2
"463" "ZBTB20" 2
"464" "ZNF334" 3
"465" "ZNF423" 2
"466" "ZNF483" 2
"467" "ZNF536" 2
"468" "ZNF655" 3
"469" "ZNF711" 3
