GSM2807157_BH160152-1_PSA10.4_HG-U133_Plus_2_.CEL GSM2807158_BH160152-1_PSA10.91_HG-U133_Plus_2_.CEL GSM2807159_BH160152-1_PSA6.17_HG-U133_Plus_2_.CEL GSM2807160_BH160152-1_PSA8.9_HG-U133_Plus_2_.CEL GSM2807161_BH160152-1_PSA17.23_HG-U133_Plus_2_.CEL GSM2807162_BH160152-1_PSA41.74_HG-U133_Plus_2_.CEL GSM2807163_BH160152-1_PSA435.9_HG-U133_Plus_2_.CEL GSM2807164_BH160152-1_PSA94.89_HG-U133_Plus_2_.CEL
AACS 8.06446094641629 8.04183762269446 8.07435730339026 8.3707861870732 7.89144467522282 8.11137580427042 8.52054437159151 8.11590456486564
AACSP1 0.360301920847975 0.376229925060562 0.423099817721074 0.293510453538033 0.36156992770384 0.574682605280177 0.552974424111145 2.49849305949515
AADAC 0.884881008000134 0.858630111143882 0.75227740969987 0.98837819413203 1.13261669169134 0.957259388836898 1.24042379330048 1.05254918757746
AADACL2 2.36711995625782 0.411102132662528 1.06231091745412 0.607981916105653 1.10772941265541 0.345506272155028 0.145936379595523 0.603270556349545
AADACP1 0.528739768115176 0.478396862271037 0.490609139627614 0.453674400397627 0.352672954224017 0.491122262667372 0.505525050594814 2.85000742193087
AADAT 7.80247379899739 7.45133787812121 7.82505651628286 7.76154867212271 8.0063770966463 7.00103569606491 7.3257673881169 7.59351776424106
AAGAB 6.24880253820592 6.28578001284462 6.26822043959259 6.30989062146462 6.73381836639353 6.05469031724279 6.45072576378596 6.52059757784744
AAK1 4.70317551736677 4.52021099366941 4.42454460373719 4.63524253172939 4.96041661216861 4.49136003904271 4.56800044589399 5.11698763111491
AAMDC 5.96526457753712 6.63966382806464 5.37970291132195 6.51237232831063 5.30666741033022 5.76446284884503 6.08775299011158 5.45137793668778
AAMP 8.51116355708777 8.90439958829813 8.5265198690818 8.6023870719793 8.61319804731425 8.61067136412615 10.3285907338314 9.15879845236917
AANAT 1.22723833842884 1.48161170772342 1.35288628535793 1.25106779576981 1.25484918490008 1.25905768723401 3.05218453116999 1.13226893041933
AAR2 7.43587830123742 7.50764002450829 7.35716734001983 7.35755200461808 7.68095431172334 7.55937709052668 7.42281360443959 7.90602628323697
AARS1 8.13181118234012 8.25607927067488 8.29063183447983 8.09390046549979 8.11533792296613 8.27703405695187 7.9683353002167 7.99422885601549
AARS2 5.75201116794449 5.31903658663712 5.58606529706053 5.74408326092921 5.51405515568013 5.2123278008902 5.22824674626975 6.23090982763292
AASDH 7.28925040878875 7.67453247760074 7.18781510571617 7.19807707827436 7.33363046949397 7.57515875341943 7.25571891269376 7.77281972668175
AASDHPPT 6.33891636388876 6.46899922178445 6.54775586559456 6.41753015695805 6.37411161379108 5.98245281292283 6.31294967865289 6.6591541866418
AASS 6.82734906088904 6.6045613688143 6.7595311180284 7.22324428143664 6.40332686931255 6.92625771640193 7.24909623999693 6.88587986584376
AATBC 4.57511557845726 4.43341565949312 4.28420880752703 3.75824846658454 0.736555225943929 3.35676128708023 3.07622531653142 7.66649746733817
AATF 6.91098940063138 6.97018798521273 6.74402826312447 6.70225346897844 7.44429698230523 7.51365256976998 7.68477926607104 7.78428660822441
AATK 6.71160938558184 6.56454887994631 6.48461099507201 6.26864877331175 6.24087497289945 5.95564923335729 6.58783463596246 6.92610933453485
ABAT 8.12232069847045 8.2989575152975 8.39159846342163 8.51015465624436 7.4895552460542 6.54652140622377 8.12704610412172 6.82555220731025
ABCA1 4.15559232386391 4.55709183944819 4.32275952700495 4.23537601129182 4.94647016895865 5.83496050954127 4.53442317563942 4.95975670268801
ABCA11P 6.76652890859887 6.66844247305901 6.50471121211596 6.48516078088683 6.46520413154282 6.105228822305 6.23692068901554 6.9583292827024
ABCA12 1.04730714451649 1.07876374445443 1.14181844423426 0.720774717819126 1.11320946978704 0.581753260651831 3.11690582129051 2.66749819679655
ABCA13 1.24359738460734 1.4738862912485 1.29530707342132 0.733459297518374 0.687776930186835 1.25223487238919 2.12666933904943 1.61535753385743
ABCA17P 4.15128445615299 4.2349920552628 3.77621654388644 3.82641052344398 3.46352402514118 4.6697455227592 4.68224052938697 4.01931849661575
ABCA2 3.20185087323966 3.12781329274766 3.01349189745196 2.55787087318247 3.32434337992759 3.56954246513611 3.3916052066618 3.36683722983243
ABCA3 5.87737653328077 5.27971214970844 6.13274384080016 5.50730434159442 5.1635799022076 5.85341804488788 6.44323888188866 6.33598324377185
ABCA4 1.79709419428624 1.88443676460552 2.05846346242516 0.973619079106129 2.25516799292452 0.961245863574837 1.10781738994771 0.920503749073323
ABCA5 7.06995703797363 6.89378604070462 7.44637973584795 6.93502480323709 5.73183010933835 7.24705131383181 5.96031974044717 6.69621917359911
ABCA6 2.49887047529266 4.41905660339482 4.51786102551146 4.16141994256061 4.11534955910564 4.79463591118394 0.782539332189625 4.23499555643618
ABCA7 4.77706410283962 4.57786167984234 4.99824738339137 4.93195565703338 4.7057323173853 4.75996531511247 4.35013579577084 5.27347060044658
ABCA8 4.51287341324235 3.89699923483105 3.93741666186404 3.74012076021755 2.3781327694649 4.22793119983413 2.68946747297878 3.83469432320283
ABCA9 2.03415472638429 2.11397550878481 1.56822395786118 2.75211814355312 1.93833604395703 2.9405628481348 1.51251926907661 0.761142030417489
ABCB1 4.68105841805781 4.57603721181319 4.81017430408344 4.70761018923658 4.48233655218352 5.16900537362716 4.19876310947249 5.67692627575052
ABCB10 7.92824266962348 7.8234734484939 8.12373480514147 8.10215477668883 7.97211055879879 8.55986267993299 8.00863103652438 7.91498429208877
ABCB11 2.83631746253056 0.649710698052153 0.702496698959301 0.811581847388674 1.88987247810795 4.69092959350095 0.987545385479139 0.622199273062599
ABCB4 2.89066670952386 3.50784647336283 2.27170231995059 2.16183589253538 3.15270761001748 2.30139203650231 2.91401067448162 2.63497201135187
ABCB5 1.52444434714329 1.67320000603804 2.07319025764667 1.80578958803117 1.87144336344355 1.56673024605612 1.64326589088914 4.10014796437961
ABCB6 3.77303357312209 3.67454012936148 3.6540029015271 3.52641072199125 3.37271664922346 3.30624418377692 4.37651164376934 4.6476719315183
ABCB7 7.85720347150817 8.03790577620914 7.28642884614513 7.83650366388771 7.87109477548653 7.86185322108667 8.38280217972877 7.90100465024344
ABCB8 3.41821760652533 3.46549299803889 3.62488716429861 3.54827922577399 3.41902205839772 4.76547821003463 3.61325457442384 4.3163172102153
ABCB9 1.91415115507388 2.39149518640441 2.58586913369047 2.14361097246423 2.27759169783549 2.79999388898293 2.23840549884781 2.32253032788459
ABCC1 7.60888870520092 7.32664196883275 7.56840457011499 8.26950467415186 7.12571487453083 8.02450165166159 7.85020649325791 8.87982311125068
ABCC10 6.83265080459963 6.68230586905017 6.83038593246595 6.56507338146982 6.564889450715 6.59816088475003 6.25195994157717 7.16430225047458
ABCC11 2.47862858098848 3.88439224273999 2.2893915250948 3.69900841270361 5.32946054293294 0.925986253229862 6.21750737735199 2.38370802536927
ABCC12 0.832821966734419 0.725677914774421 0.749772508651533 2.06803116734478 4.09539464209178 0.645120188435388 3.2464137206122 0.849027837881916
ABCC13 2.47422858484644 1.8808967469056 1.57949237277487 2.53827664418775 1.84965821553931 1.23932637254976 1.80080499741795 2.18470326171341
ABCC2 0.529085223626134 0.619144011307694 0.468246120166599 0.672270662421017 0.762329450102576 0.710906620311988 0.994921968737194 0.535998281330076
ABCC3 2.75985616309092 3.18260674584874 3.80513903360391 3.18348346580182 2.26254886691761 2.99384620339348 3.22440957993945 5.28612583081491
ABCC4 7.29572348877104 6.85430496348156 7.99842399718975 7.38315378904097 7.30455403673453 10.3417418165401 10.4707380677551 9.63138955834644
ABCC5 6.97455528666973 6.72905725491889 6.42980015783666 6.63292556995223 6.77087192439995 6.82320649254136 6.48930255833146 6.55410530867951
ABCC6 1.83528725488436 2.39040229217177 2.80075552156763 1.54104031759549 1.53565444216551 1.42478637039321 2.80735110654961 2.4529648320066
ABCC6P1 3.14609877397064 3.05781908033884 4.82972612999577 3.30568564428534 3.29949628924093 2.38462065054446 1.4261162681803 2.99457130940291
ABCC8 1.97263334824855 2.02219038209905 2.24847622374207 1.89293778070591 1.96916528884638 1.99624122494573 1.92954109000757 2.16724658888938
ABCC9 3.52477374682221 3.09808661789344 3.34597855119116 2.88982910794468 2.82447830983742 3.2257503388671 3.82821756500725 3.31303831776376
ABCD1 3.78538421382284 4.46188158774921 4.66267496203867 2.81742166485189 5.22030918602628 4.22716123510581 2.3451420188938 4.73889058663992
ABCD2 0.313888751462983 3.19128187707147 2.49978614730622 0.753383979383533 2.53309737329765 1.70750557333641 0.202090409742969 2.69517754673822
ABCD3 8.27216453771399 8.26213885301335 8.57734763721522 8.41483146045567 7.843982851571 8.15956814062737 7.93785817304968 7.76303719075113
ABCD4 5.05697334277823 4.54674120404393 5.01218281115623 5.00764919380862 4.2152030315243 4.56957999331012 4.47159534217753 4.78224941132548
ABCE1 8.47118195169538 8.46426541171513 8.3355543791642 8.24019206800114 8.94470971691646 8.9116619764012 8.8367396772779 9.01570554452788
ABCF1 7.1923563753559 7.25521525999502 7.25357066568941 7.03333701795727 6.99690249486491 7.48956037474349 7.45248882046805 7.79891382609369
ABCF2 5.28648781029088 5.20365180290621 5.18962760630798 4.77350451735696 5.2971315181152 4.87114649183608 5.62469218547184 5.44489719146994
ABCF3 6.70437197991963 6.95874873108875 6.41641009572578 6.61987793742958 6.42178296072012 6.54303182025524 6.45783819233414 7.03448081110006
ABCG1 6.16497633910895 6.57006728860532 6.06988370845073 6.26908550142038 6.16955568438968 6.27435077305048 6.09558934062266 6.84172565193059
ABCG2 6.32604736426728 5.44775591937948 6.38832581460391 5.33751771279373 5.39386430147317 6.08077426062208 5.20392273496503 5.56851803956307
ABCG4 2.52479682950184 2.9303284015894 3.12344056220718 3.64271496512851 3.27037006348394 3.36759314851857 2.65077166705237 1.56451007244995
ABCG5 1.85485955651372 0.692163363796616 2.16244629094523 0.728323838258494 0.660892396696911 0.80240076003352 1.37360304301037 2.33727071933284
ABCG8 2.39420922978699 3.35820659387572 2.17207134684505 2.55755576522169 1.32977393521572 3.35617882729265 1.76932830548693 1.35147617245004
ABHD1 4.86910772004663 5.04498809689998 4.92581921530199 4.30810982211379 4.27610788020559 4.21714822117677 3.57431697466773 4.0953196048243
ABHD10 8.95143182902386 8.95532512427836 8.75933931137022 8.9007590928873 8.80427935330178 7.86620743058677 9.39175879271444 8.96085791838605
ABHD11 6.04388066041913 5.45371059043975 5.69791199923741 5.95302706371465 5.60660073244262 5.92084093859694 5.7120342968606 5.57253754810966
ABHD12 7.45812368756529 7.79228036499712 7.34283162435629 7.45409203748633 8.41194429117917 7.88850882958949 8.41525535577778 8.80929845052941
ABHD12B 2.44478464811835 0.455912127850973 0.446646738970279 0.543437676592131 2.62028092156322 1.43030167767082 2.26679174862907 0.623147079263662
ABHD13 5.6929669428784 5.76628725072977 6.08747238075328 5.78838455899061 5.91517789301979 5.51673587929829 6.05193280358153 5.71140796574877
ABHD14A 7.31526999168731 7.93395379889027 7.46029028942508 7.29967052563851 7.3094763538411 7.13011329616266 7.35055764673771 6.82654848729091
ABHD14B 7.16113675580328 7.37231407741579 6.94520403082314 6.94743411759519 6.41151098801207 6.52572340395204 6.37603385823566 6.76273810216804
ABHD15 6.10680845156065 6.29091195368674 5.78245996969601 5.80768282968221 5.47954986849069 5.2345231216291 4.69873803420924 6.05367739264139
ABHD16A 6.04691167946528 5.87085989363784 4.98595795405016 5.42207445580164 5.26319704778326 4.56159999413694 5.52948777475726 4.83468815003922
ABHD16B 0.576382803801864 0.800285340543348 0.381249525262155 0.428945770191053 0.517921097538563 0.404069250945417 0.669114047147405 0.495904798374864
ABHD17A 8.46458530265047 8.66187021034735 8.30526016147696 8.12568666633601 8.28309569614786 8.39468785384957 8.49449403756624 8.89049072077919
ABHD17B 6.46133955541789 6.15873699775 6.16412839266482 6.67191373893371 6.70970056173854 6.20040005585524 6.62431267526679 5.87985125640406
ABHD17C 9.34844438228971 9.65018303747814 9.18263653889962 9.38974873875496 8.44242519333161 8.91141183801865 8.35378297845118 7.74146698640115
ABHD18 6.82009954466107 6.28141999996902 6.7407828523853 6.83557733231207 6.07760447910652 5.54824761715705 6.06252385809675 6.65532574044221
ABHD2 7.2608679424637 7.2681736089245 8.30564793085102 7.40957047654261 8.6566022468706 8.65730961389513 8.57626565562541 7.57204409012188
ABHD3 9.10656294044488 9.11367576216004 9.29918998364488 9.18363538147322 9.34819186480049 9.31120525713541 8.2482735925343 9.03361832480585
ABHD4 6.07870005680459 4.50342130156617 5.97516208656946 5.912060245758 5.22950599712921 4.96302802503075 5.4806099422699 5.18435071299618
ABHD5 5.26798916792877 4.64302358585546 4.84836264469708 5.40721118924226 5.4010575113396 5.25134027283835 5.54916506175688 5.28560466809451
ABHD6 4.81949388168561 4.79225335278667 4.74738339680128 4.63898842827062 4.80253495037823 4.47832344624734 4.74942194085571 4.36969853666471
ABHD8 3.21436016398904 4.80694994050476 3.46856179051766 3.21858921105735 4.21358877571804 2.20357084449117 4.25269359839352 4.26607803475635
ABI1 6.44749029232304 6.23261691832065 6.76853828605771 6.32141159846497 6.65583962476972 6.27908679979569 6.32239775735189 5.67772424698077
ABI2 6.06819185092947 5.99382888934156 5.94549938985736 6.14506097090367 6.62431684691908 6.98995003367248 6.67131017888117 6.35796588647996
ABI3 4.77678049072916 4.13371186717873 4.70041195646475 4.60501758610432 3.94058210716369 3.36458823303113 2.97078394948764 3.40586395562332
ABI3BP 3.3589349612433 3.83165147570415 3.52038664959191 3.20770187658472 3.9354208764058 3.54886469471353 2.97107844400016 3.34736112728882
ABITRAM 7.44397954260125 7.78769184242522 7.2895714573543 7.14552392250285 8.18433475541556 7.69179532412981 7.69122513145134 8.22063567416568
ABL1 8.16804992227241 7.8878120544889 7.98689615334611 8.2448625233375 9.04984854945056 8.23446771068805 7.90340388817293 8.94338926135309
ABL2 5.60579865088961 4.93051003384413 5.30811233750696 5.45268240897147 5.84191224154351 6.1338842911484 6.02509908616874 5.70534514423431
ABLIM1 7.32745530030256 7.49286771141755 6.82889260584187 7.63456574480359 5.40644901304093 6.1631032511217 5.60988242881005 7.10726921375491
ABLIM2 3.08581539645776 2.95066670951502 3.63058452584109 2.88256183928392 3.76608687775002 3.25497755317616 3.01706447806552 3.12193250216188
ABLIM3 6.11293400931853 5.74304604603231 5.84695707087283 5.54736801555321 5.74799733959979 4.70680611043952 4.41934161830422 4.68181767288929
ABO 2.99404548540104 3.48427497011007 3.67762513011073 3.04625650133772 2.33675841022495 3.33148667816139 3.41580128179223 2.71017603295654
ABR 5.2185851562752 4.54827503812019 4.70592014064883 4.36078869468829 4.52723017712138 5.06935726810412 4.4750407150346 4.60095815574702
ABRA 1.24556732176915 2.16826106801844 1.68317965374457 2.18611266368503 1.80561892799793 1.63871589481686 1.16318191174083 1.37748149637424
ABRACL 8.66929656725996 8.8583933570468 8.23971083660385 8.80076761936807 10.1044145091651 9.58935677144282 8.88798084512868 8.86751090397735
ABRAXAS1 5.74743659915543 6.51103356088273 5.93663488620663 6.03907017858508 6.21993871481988 6.3400407408942 6.26435711599691 6.09842756682797
ABRAXAS2 7.40270747473147 7.3903962368684 7.21140396981495 7.26277159163569 7.23260295431933 7.13405754230792 7.30923539199616 7.25009860451701
ABT1 6.74721080220219 6.79062358197451 6.56493770504371 6.17616745114394 6.87498134765377 6.46579782774772 6.99416350025616 7.49570895319442
ABTB1 2.14801584454813 2.27748030547631 2.67874397316195 2.35884637985204 2.34012230547804 2.21334948117587 2.30146029108057 2.46978748573869
ABTB2 3.20471858551374 2.99516017583227 3.18789097736966 3.41858147091599 2.91539579072095 3.15548432351123 3.1084429228623 2.60828837279808
ACAA1 9.32254233833767 9.4001473723987 9.31083809558081 9.22717532011739 8.7197439847457 8.35655457716997 8.74786528242294 8.25852240213279
ACAA2 4.13330385504738 5.44571155055887 4.53832543922958 4.41913741263504 4.93748793923319 4.08156486922765 4.28224176575239 4.41249196212288
ACACA 7.61011290178949 7.70300840498125 7.53802597474154 7.63331614887932 7.87172910103859 8.43393573999085 9.86763901925232 8.27200414215793
ACACB 5.25797451026822 4.80827450631693 5.07924727626461 4.78566506664935 3.77898820530898 5.02754410750163 3.95910929978134 4.70195300529897
ACAD10 3.66537675950879 4.35703079677895 4.19130501784014 3.96916735703241 4.23039827823682 4.07315751557678 4.49444462452403 3.87605475228841
ACAD8 8.88518454622842 9.04564319018027 10.7984099173671 9.33629174020641 9.34150567538289 8.09773170132873 8.73933750432279 8.73984879993198
ACAD9 7.48379000556509 7.74612655313898 7.33812823899191 7.3971356233109 7.67762985653771 7.63625651404187 8.15935527084364 7.85664071576049
ACADL 8.23408249832688 7.76508426322954 8.93421591159403 7.94414060968611 5.72884731624345 10.256918367129 8.34659366495235 6.29284395973951
ACADM 9.88475022041018 9.79966677281695 9.9423646090596 10.0965088447034 9.67780559737161 9.65250383900112 9.61355758014152 10.1203587743402
ACADS 4.76003118448914 4.80416322673788 4.61363287673347 4.25132832036404 3.91303641451364 4.19266916278407 3.34868451942547 4.39482159327367
ACADSB 8.82019160648164 9.02529235138752 8.65912758685186 9.0434367297403 7.77377442992574 9.15282131886303 9.35131511327471 7.01535197508992
ACADVL 9.51010709973168 9.56914357654506 9.60085614599138 9.46774619578686 8.94575687387881 9.30804221890435 8.49031713699488 8.73141045630329
ACAN 3.44495294307112 2.35935536538067 3.47856186938962 2.69734791673584 3.55550057712591 3.97028659433537 3.94991537245295 3.5926105011308
ACAP1 3.14501891907598 2.99971922859572 3.06003478931475 2.46901466663431 3.91014738066918 3.23201215919535 3.08570800007566 3.09270787370455
ACAP2 6.0858859199457 6.15494920991179 6.24127800816742 6.25984018070923 6.46960648829569 6.39203926403207 6.05347344096559 6.19504284778446
ACAP3 4.30258129454666 3.80234926183179 3.23836395060885 4.48306396906208 4.40663421610238 3.36047001453691 4.10748518059158 3.93874930477114
ACAT1 5.71063683532104 5.44153943385563 5.65925495304991 5.66828719804606 4.64841072088972 5.39359636969071 6.39423504441134 4.80673678957226
ACAT2 9.20375795555207 9.44987028585129 10.2968556373121 9.51918767657048 8.76892226612909 8.1777978843449 8.16216405069429 9.05426513962576
ACBD3 8.56578198904695 8.2411109377798 8.83206004141609 8.70528653618567 8.52056203810405 8.79242498970761 8.44933826280421 8.94960948958386
ACBD4 5.69498914845128 5.98436332804269 5.7701649148834 5.91413068926303 5.70385153736546 5.77640210494568 5.33292414860581 5.77386530147283
ACBD5 8.00177289877576 7.86170754488515 8.1486334932304 8.0282867355831 7.82262730452818 7.95772152561199 7.77693239106718 7.20804546280423
ACCS 6.04513530468309 6.29460783990026 6.11408625255415 6.59669072391254 5.72908990235085 5.2345978051212 5.37031581497876 6.36230370527424
ACD 6.07425382941662 6.09394843009602 5.89285688558333 6.12487288765467 6.43225560301415 5.59414809601542 5.15620688998035 6.33538203539061
ACE 3.44051751353496 3.56294313375797 5.00856444937889 4.83466505083604 4.08471131135882 2.70270857659838 2.91394003804835 4.7539091096083
ACE2 4.17814705708801 2.37984875754831 1.72397332364055 2.72836660560765 3.26657095536974 3.66157019710533 3.43836492979502 3.86317140699163
ACER1 1.65596616129494 1.49435180429181 1.89790246759107 1.74756277060887 1.25655651355724 1.47459971707068 1.55785649420364 1.18366681561101
ACER2 7.07594289919036 6.57186604883152 6.7737296568033 7.22269879383765 7.29580321922201 6.66658507840049 7.04714061817361 6.44262425823868
ACER3 5.45402906279573 6.09912210854503 5.65901723731867 6.51281954241858 6.48464826179298 6.29955088727574 5.95121452836972 6.36690244710124
ACHE 1.22952711777818 1.25013323113272 1.75897192920229 2.04863622602442 1.44703002369461 1.20067114263201 1.81135720475961 1.34356134666789
ACIN1 6.72532577195491 6.40499703054178 6.65612452584782 6.63726580389237 6.8459614988936 6.73390792616989 6.71050749358981 6.82209069738566
ACKR1 2.1881930876449 2.38269568799804 5.65316364834432 2.42381024527255 4.98473659049513 5.90507577200103 4.0378157853368 6.2843899729592
ACKR2 1.77438431774882 2.877253114744 2.33452753541402 2.48217852095117 2.76770240605901 2.19381955057129 2.81734745211037 1.50130303883315
ACKR3 5.06054798296601 3.375986118523 5.21569366979172 4.51593669240276 6.22565029152035 5.51888758234251 5.67519308194732 5.37858762971718
ACKR4 3.25259520377773 3.76995456751346 0.310676904658866 3.41878063192225 4.16539445601174 3.31351719583041 2.7910094027189 1.02785527625716
ACLY 8.81293392827615 8.92082372090214 9.12951060570167 9.17545407852902 9.34869517690094 9.12471392800945 9.20504079290738 9.30911215934626
ACMSD 1.23826927830535 2.52716684913569 1.55998592342141 2.39125562190963 0.890777560711556 0.571189924328857 2.92391584015945 2.71231778180083
ACO1 5.89738281578977 6.00727965820127 6.53610424104171 6.10233323646111 4.49656463669058 6.20557944663055 5.94567893032496 6.35919343148472
ACO2 6.02296992302341 5.90275800249102 6.03848109153352 4.7561120319361 6.06302592759187 5.69968293872102 5.59850430478189 6.05258489433568
ACOD1 3.96370372756406 3.67206738547218 3.88077295802105 3.49996119954533 3.4963517188521 3.93350274592784 3.39380032908502 2.15534454577768
