logFC AveExpr t P.Value adj.P.Val B
ABI3 -1.15234988847934 3.98721751822284 -4.85369623048201 0.00115257212043878 0.0491984031052101 -0.588508515091548
ACOXL -2.75638627593196 4.61581665927469 -8.38038950465807 2.56368959477135e-05 0.00837194394004764 3.16559245449636
ACP3 -1.13834272823079 10.4787572606178 -6.70082952121878 0.000131272349519356 0.0191464852722043 1.58823964949175
ACSF2 -1.12011889917616 5.79568113936119 -6.05597070567438 0.000266534265212222 0.0259771269604267 0.885888477682613
ADA 1.88163834667811 4.26021066933175 5.82357825787108 0.000348399058037266 0.029094515481514 0.618098653626149
ADAMTS9-AS1 -2.64009816925733 2.66993750763242 -5.52101394897937 0.000499033949857297 0.0335188413469505 0.257299550887229
ADAP2 1.42381621198487 5.24447833368035 5.09991938274766 0.000840134416679324 0.0430532764832449 -0.26830900912705
ADRA2C -2.36149674874032 4.53948304587375 -4.87887783165405 0.00111544991123079 0.0488759218456737 -0.555323342843762
AGBL1 -4.7414118527394 4.64184773840933 -5.94176273406695 0.000303768847042169 0.0276776807887181 0.75528418418731
AGL -1.06114824948145 9.47619322704284 -6.41893679094304 0.000177811865760878 0.0211921261952836 1.28841159266378
AKAP5 1.31210082176579 2.77463528176414 4.84360344370384 0.00116782538326777 0.0492770842376277 -0.601837133653564
ALAD -1.65063926703952 7.10929490145533 -7.58813388454162 5.34910873101328e-05 0.0116214959169525 2.46372911424423
ALDH1L1-AS2 -1.73702932898374 2.72996592846388 -5.14285904513914 0.000795768997938453 0.0420186176962084 -0.21344443195599
ALDH3B2 2.61464539272741 4.49293158665356 5.56465054767923 0.00047347291293876 0.0323777853939794 0.310195519551116
ALDH4A1 -1.45406793820458 6.21698358527273 -5.00764278407447 0.000944862500351433 0.0452208713291887 -0.387192175148451
AMACR 2.91319066106609 4.75280826196965 5.0639795992819 0.000879340620634374 0.0437486786752572 -0.314452346318314
AMD1 -1.30485846581106 11.6362311262441 -5.74680345046254 0.000381219298321867 0.0303476752103022 0.527860561068726
AMT -1.34380847299348 7.12318863692653 -6.56357620060992 0.000151997528786516 0.0198787160264543 1.44362078067113
ANG -2.00946954098554 7.57429085249309 -6.47754702612218 0.000166811578139564 0.020519061135564 1.35165542414998
ANGPT1 -1.56437183035474 4.96789430829114 -4.89537346594377 0.00109183730998988 0.0483491523873865 -0.533638915627175
ANKRD65 -1.27497434981872 4.96394393325442 -5.6452705992872 0.000429932594503458 0.0311579881585344 0.407155811133954
ANLN 2.51254526172108 5.07830806406263 7.81267245859552 4.3169002195295e-05 0.0100727799702375 2.66988702563401
ANO4 -2.40060430652945 4.20694809743273 -10.3524449640482 5.13004062665359e-06 0.00424368315783594 4.63911459742997
ANXA2P1 -1.0276900456022 4.51449973945264 -5.44826515343857 0.000545066591858527 0.034939823214986 0.168462740560821
ANXA3 -1.86330521084459 10.0365798452437 -5.07406339535106 0.00086814314521917 0.043662699288038 -0.301485206751166
AOX1 -3.05240745185104 6.73721330013112 -6.96872517498974 9.92175311674548e-05 0.016688548770642 1.86321453918092
APLNR 2.45697201778372 3.26041393305724 7.21715877489585 7.70704249917705e-05 0.0146132532186669 2.1098406258868
APOBEC3B 2.15828631619879 4.3412410346145 5.55337134043905 0.000479939827123494 0.0327127613539697 0.296550946853889
APOC1 2.36222592506826 7.65222535264419 5.15573463413668 0.000782968125778645 0.0416590974473602 -0.197049502576564
APOE 2.07043444928845 4.85899526155455 5.04585932767917 0.000899859158909806 0.0441515985062003 -0.337794064446376
AQP3 -2.05305699698958 8.2737235563406 -8.16923685581225 3.1014203582687e-05 0.00887984043737731 2.98537586301384
ARHGAP28 2.45985644766819 4.84154023961001 4.93656080067972 0.00103521679285507 0.0468362617105818 -0.479682813389625
ARHGAP45 1.9099387704074 3.74555995946679 5.16365306498758 0.000775207150942416 0.0414576808902717 -0.186979602372764
ARMCX1 -3.03246364879329 8.57802533123064 -13.0853680919019 8.18534960676939e-07 0.00245400405580126 6.18638350861082
ASPA -1.11675603795437 2.5727141838473 -5.33207056135889 0.000628504286978473 0.0371141593291438 0.024874795707067
ASPDH 1.93955686101361 2.92986288594791 7.61376316024166 5.21850380068208e-05 0.0115789716777475 2.48756095010524
ASPM 2.77821817562195 2.76692527587948 9.52759288326795 9.71355798770349e-06 0.00450212619887848 4.06578539915579
ASPN 2.49590867682155 6.93247572800079 5.68514628704334 0.000410032723158593 0.0309127967665441 0.454747420221256
ATP1A2 -1.93419799644916 5.96337292557835 -4.82579238698769 0.00119528052078687 0.0494642179008965 -0.625397641140484
ATP2A1 -1.06687662422369 2.01529093429576 -5.98059661717403 0.000290503884955772 0.0270049068131808 0.799908857387353
ATRNL1 -2.00881084624595 3.48690836445542 -7.35176565261986 6.73957736353903e-05 0.0134447222808668 2.24020353618182
AURKA 1.88846127309481 4.43006551328786 5.79334402436793 0.00036093897699235 0.0294066571997244 0.582668298173208
AURKB 2.25505605764955 2.62351739115521 5.80704165414546 0.000355197529589191 0.0291667514749676 0.598737028003552
B3GNT8 -2.46569455429464 2.37190364734949 -10.0268292090366 6.56467338755847e-06 0.00434266825182724 4.41958396923371
BBS5 1.04176587526901 4.92884895466039 6.72135611608251 0.000128449714833029 0.0188667302976935 1.6096476466293
BCL11A -1.36400614831895 6.02394146590495 -5.72817137852548 0.000389685419053353 0.0304407070606583 0.505827261019459
BEST2 -1.96579703200885 2.95042702484064 -7.42705940574224 6.2574963760808e-05 0.0129220397936552 2.31214432941137
BICD1 1.81370567328312 6.0931554412389 7.97557843686353 3.70618331617279e-05 0.00973621730853632 2.81580188242042
BIRC5 2.45832773315083 4.28376987199296 6.57778537705454 0.000149693095095827 0.0198787160264543 1.45871205952849
BRI3BP 1.29753762916874 8.39837252924126 4.93874202800316 0.00103230853488382 0.0468062154610258 -0.4768328126887
BUB1B 1.59430250246751 5.89841298354964 4.8627340531189 0.00113909666901619 0.0490870645158483 -0.576586688206537
BZW2 1.64212204707191 9.45021550039947 6.04909036492844 0.000268629643358313 0.0260595742861597 0.878074614297326
C10orf82 -3.00912671878726 4.26039185543037 -5.26117905245646 0.000686196232827806 0.0384940771249134 -0.0637605320341423
C16orf74 -2.28673539077009 2.34136372689929 -9.04984701781008 1.43704559802612e-05 0.00592171550154961 3.70639914723557
C1D -1.05633414168031 9.67112235235907 -6.73973665204779 0.000125978864612718 0.0187681512801961 1.62876920166737
C1orf210 -1.24691725314219 5.86495708736709 -5.38898206317802 0.000586015433392097 0.0359296477532036 0.0954650202434859
C5orf46 1.61932616534107 2.39778564078582 5.76670060994003 0.000372400168243322 0.0298912406371132 0.551332042464775
CA14 -1.48861595637649 5.10127135236022 -6.17041065255637 0.000234188397344297 0.0241091702655613 1.01484391878613
CAMKK2 1.80880383374579 6.86164827790813 7.03586956579313 9.26094419510133e-05 0.0159632655435726 1.9306526641315
CARTPT -2.19720465254081 5.93792861393629 -5.46339775966713 0.000535121988022705 0.0345877784220773 0.187009066072877
CASTOR3 -1.18217217287375 4.91923068517121 -4.97193186016534 0.000989134457153797 0.0459984446687942 -0.433559219834765
CBX7 -1.21817264638367 7.98704512808114 -4.99681603788679 0.000958052738072586 0.045548554746665 -0.40122842113963
CCDC178 -2.23218605559846 3.88982709172196 -8.06265508645144 3.41945150679324e-05 0.00914352565092136 2.8925649851515
CCDC68 -3.0925235299511 4.98628912998418 -6.09551314971296 0.000254834298383282 0.0254309998152158 0.930661898855774
CCDC78 2.78941492136056 2.92799430246777 5.72094512980542 0.000393024142434807 0.0305869572341895 0.497267764107618
CCK -4.67973669961628 6.9821137918555 -5.84141380153809 0.000341226012751125 0.029094515481514 0.638935196066706
CCNB1 2.70910246071304 5.87654118282285 8.44993252859614 2.4098998674441e-05 0.00837194394004764 3.2239039496575
CCNE2 2.0067945002516 5.25029779250419 6.53380672128949 0.00015695320234901 0.0199608106182518 1.41191302441829
CD177 -3.88373278602063 7.96764522027592 -6.61027003863317 0.000144567913446565 0.0198787160264543 1.49310920691434
CD38 -4.05108898906142 7.25716049400587 -5.33054848488201 0.000629685854215529 0.0371141593291438 0.0229799749218111
CDC42EP5 -3.05315434700484 8.75679963498022 -5.62718488557808 0.000439304592679124 0.0314865150842216 0.385490772686722
CDC45 2.43776175731849 2.46242562660735 6.00368269107454 0.00028292012385659 0.0268221137421677 0.826331977222713
CDC6 2.00673085657922 5.03944762184522 10.1785944480726 5.84694723157556e-06 0.00430286723640345 4.52297194958724
CDCA3 2.22561706683991 5.09721565399315 5.22966646479018 0.000713674664887711 0.0391713486462184 -0.103412355641173
CDK1 3.00445504248451 5.20546289420087 7.9384975853243 3.83628574991205e-05 0.00973621730853632 2.78285414658674
CDKN3 2.72808781703511 5.42331250736889 7.56993147317985 5.44406149082484e-05 0.0117058546921787 2.4467556780906
CDT1 2.72307613826951 2.63768616855827 8.41719420099239 2.48098573812118e-05 0.00837194394004764 3.19651658500977
CENPE 3.40533655475215 4.10849131442734 5.18025585070031 0.000759205198853124 0.0409102355206975 -0.16589767958613
CENPI 1.41141924122751 2.20555436573129 4.87585055380595 0.00111984321927905 0.0489655556069249 -0.559307517269579
CENPK 2.21504606953602 5.1058505069634 5.32795124770742 0.000631707655072447 0.0371141593291438 0.0197458628097733
CENPM 3.44664216019603 4.32246809365955 12.8181371560141 9.63775942832393e-07 0.00245400405580126 6.05545609186348
CENPU 1.4601884844057 5.61804932927688 5.44353916851009 0.000548213575314997 0.034939823214986 0.162663386153418
CENPW 1.42019904542604 6.59405816501744 5.81488917145758 0.000351953333219021 0.0291297248847188 0.607930284413779
CEP55 2.47822896649695 4.94598071363127 5.89522844942546 0.000320546089679511 0.0281321457012022 0.701516624450328
CHRM1 -2.25816531826921 6.18358308096474 -5.41605948607329 0.000566909773966838 0.0354704501944494 0.128874071681264
CHST9 -3.57801206055823 5.58187122330805 -7.51364889135821 5.74965048962862e-05 0.0121166296214798 2.39402179131082
CIB4 -2.15797598665604 4.82915370277342 -4.97804621312325 0.000981396989504882 0.0459977460901198 -0.425606109564058
CKB -2.18544591836998 9.90253137201177 -5.97428218563035 0.000292616816405948 0.0270049068131808 0.792668004357225
CKS2 2.06364571581164 8.26404848069627 10.0075293124914 6.66276952862213e-06 0.00434266825182724 4.40630029865749
CLCA2 -2.15794152976615 3.51186006496401 -6.62802480985907 0.000141848596591547 0.0198787160264543 1.51184818479797
CLCA4 -4.14444164667637 2.72022141298426 -9.96002628816247 6.91123257102785e-06 0.00436810841617963 4.37347304832243
CLDN16 -2.1483101675229 2.63462653563573 -6.49621027822353 0.000163467663821727 0.0204822997213394 1.37169360250736
CLMN -1.0345018833346 7.06581585644483 -5.32428683286984 0.000634572250334294 0.0371777343405123 0.0151811022935968
CLSTN2 -4.69610839320749 5.49307053702193 -6.77346807156465 0.000121579544920609 0.0183752504957184 1.66374234332576
CNKSR3 2.30260418675691 4.96409490796947 6.22947541026641 0.000219201215729323 0.0234546845953777 1.0806586867124
COL10A1 4.08549602265802 5.545713483718 7.02161903619535 9.39702538115369e-05 0.0160650621618625 1.91638867566579
COL13A1 -1.11986643735036 4.94691535605901 -5.64012928199891 0.000432574364078346 0.0312186972719103 0.401002050494119
