logFC AveExpr t P.Value adj.P.Val B
ABCA1 0.846137746508584 4.69330378230453 3.27265395755783 0.0108136206630752 0.134169950130732 -2.85870149810427
ABCA11P -0.184154169237368 6.5238157875283 -0.912143346467896 0.387518105480768 0.677675939040907 -6.16587501186192
ABCA12 0.743273840977333 1.43350384994378 1.58133454550987 0.151239597671754 0.442661281032806 -5.40253476363512
ABCA13 0.243700875183438 1.3035360902848 0.784054667575271 0.454883989983707 0.727012672727217 -6.27565742819818
ABCA17P 0.242769927218391 4.10296651908116 0.864309180754456 0.411792865392692 0.698169027348286 -6.20849102764729
ABCA2 0.4949454859654 3.19416940227246 2.22484044209659 0.0556987501372232 0.284036389147204 -4.47748655831703
ABCA3 0.180703668550387 5.82416961726747 0.576110088189213 0.579882721775074 0.808498569947632 -6.42274935439605
ABCA4 -0.259962703784144 1.49479356199293 -0.65944128049743 0.52755149986429 0.776235741281799 -6.3686412845401
ABCA5 -0.636234959907193 6.74757099437247 -1.97138275620164 0.0829996814309576 0.339835955164013 -4.85553428434158
ABCA6 -0.208415368528495 3.69059105070937 -0.251700816166997 0.807416698103747 0.927022463522507 -6.56704506948418
ABCA7 -0.0830170712084533 4.79680410647774 -0.40481321284993 0.695887485161735 0.871719235917016 -6.51248645901308
ABCA8 -0.700200316096042 3.65220447945445 -1.7217385441193 0.122200142356301 0.401845669276805 -5.21181598559299
ABCA9 -0.276410437011823 1.95262906602117 -0.603003756704173 0.56267964915519 0.797323829229554 -6.4060145478528
ABCB1 0.180066798961894 4.78773892927809 0.671016089629723 0.520514011389412 0.771805206461962 -6.36060442768968
ABCB10 0.131830424365219 8.05414928341158 0.693075924356342 0.507262197064358 0.762960095490828 -6.34494184390848
ABCB11 0.98679308728179 1.64883167963517 1.0763014708947 0.31219603459469 0.616733537937246 -6.00586349318427
ABCB4 0.132881317225227 2.72939171596574 0.3597824823052 0.728027825468481 0.887591156321551 -6.53109895809512
ABCB5 0.427258537992797 2.03227645795345 0.948730215243259 0.369663175034513 0.663995237190323 -6.13202217768051
ABCB6 0.190006943717858 3.79139146678624 0.667089022429384 0.522895204901624 0.772928794375136 -6.36334519537234
ABCB7 0.237492786675805 7.87934957303695 1.03128457635118 0.331631588375371 0.633700415826397 -6.05178221357297
ABCB8 0.543135136499996 3.77136863096354 1.97766441994723 0.0821878698609539 0.338915622203062 -4.84633545881372
