"up_names" "Freq"
"248" "TSPAN1" 4
"249" "TSPAN13" 2
"250" "TSPAN8" 2
"251" "TTC36" 2
"252" "TWIST1" 2
"253" "UAP1" 4
"254" "UBE2C" 2
"255" "UBE2T" 2
"256" "VAX2" 2
"257" "VSTM2L" 5
"258" "ZBED9" 2
"259" "ZFP69B" 2
"260" "ZIC2" 3
"261" "ZNF577" 2
"262" "ZNF615" 2
"263" "ZNF649" 2
"264" "ZWINT" 2
